Well,API #,Stage,Crew,Start Date,Start Time,End Date,End Time,When  (Except Pumping),Party,Reason,Comments,TimeInMin,
Briscoe Carla Ranch 18 HX,42-127-38291,,L2,3/3/20,18:00,3/4/20,6:00,Rig-Up,Operating,Rig-Up,Silos are up and prefill started. Both blenders are spotted. 7 pumps are backed in on the high side. Risers have been hung on 2 wells and currently working on the third. One of the wells has been finished running to the zipper.,720,
Briscoe Carla Ranch 18 HX,42-127-38291,,L3,3/4/20,6:00,3/4/20,15:23,Rig-Up,Operating,Rig-Up,"Silos are full, rigged up blenders, spotted missiles, finished rigging up from the zipper to wellheads, pump down pumps, & data van. Currently toe prepping HX.",563,
Briscoe Carla Ranch 18 HX,42-127-38291,,L3,3/4/20,15:23,3/4/20,18:00,Toe Prep,Operating,Toe Prep,"CIT, bursting disc on the sleeve and pumping acid.",157,
Briscoe Carla Ranch 18 HX,42-127-38291,,L1,3/4/20,18:00,3/4/20,18:54,Toe Prep,Operating,Toe Prep,Displacing acid.,54,
Briscoe Carla Ranch 18 HX,42-127-38291,,L1,3/4/20,18:54,3/4/20,21:03,Toe Prep,Operating,Wireline,"Pumping down, logging and perforating the HX.",129,
Briscoe Carla Ranch 18 HY,42-127-38292,,L1,3/4/20,21:03,3/4/20,22:51,Toe Prep,Operating,Toe Prep,"CIT, bursting disc on the sleeve and pumping acid.",108,
Briscoe Carla Ranch 18 HY,42-127-38292,,L1,3/4/20,22:51,3/5/20,0:40,Toe Prep,Operating,Wireline,"Pumping down, logging and perforating the HY.",109,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L1,3/5/20,0:40,3/5/20,1:48,Toe Prep,Operating,Toe Prep,"CIT, bursting disc on the sleeve and pumping acid.",68,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L1,3/5/20,1:48,3/5/20,4:40,Toe Prep,Operating,Wireline,"Pumping down, logging and perforating the HZ.",172,
Briscoe Carla Ranch 18 HX,42-127-38291,,L1,3/5/20,4:40,3/5/20,6:00,Rig-Up,Operating,Rig-Up,18 pumps are in line and tied to the missile. Running ground iron to the zipper.,80,
Briscoe Carla Ranch 18 HX,42-127-38291,,L3,3/5/20,6:00,3/5/20,13:00,Rig-Up,Operating,Rig-Up,"shift change; continued running ground iron to the zipper, pump maintenance, bucket tested, setting up shear frac",420,
Briscoe Carla Ranch 18 HX,42-127-38291,,L3,3/5/20,13:00,3/5/20,16:00,Rig-Up,Operating,Rig-Up,restraints crew rigging up,180,
Briscoe Carla Ranch 18 HX,42-127-38291,,L3,3/5/20,16:00,3/5/20,18:00,Rig-Up,Operating,Rig-Up, running transducer cables,120,
Briscoe Carla Ranch 18 HX,42-127-38291,,L1,3/5/20,18:00,3/5/20,19:35,Pre-Job,Operating,Prime and Test,,95,
Briscoe Carla Ranch 18 HX,42-127-38291,,L1,3/5/20,19:35,3/5/20,19:58,Pre-Job,Operating,Other,Shear Frac doing a talk on their process.,23,
Briscoe Carla Ranch 18 HX,42-127-38291,1,L1,3/5/20,19:58,3/5/20,22:27,,Operating,Pumping,During the stage we were unable to get to the desired concentration and the proppant concentration continued to fall; after the stage we checked the hopper and lots of pebbles were blocking the mesh put into the hopper which was preventing the sand from passing; no additional time charge was added to the ticket due the the inability of the sand to enter the hopper through the mesh; FP59 V&S;,149,
Briscoe Carla Ranch 18 HY,42-127-38292,,L1,3/5/20,22:27,3/5/20,22:50,Between Stages,Operating,Well Swap,,23,
Briscoe Carla Ranch 18 HY,42-127-38292,1,L1,3/5/20,22:50,3/6/20,1:17,,Operating,Pumping, Higher sand target concentrations were difficult  to hit due to pebbles blocking the mesh put into the hopper which was preventing the sand from passing. No additional time cahge was added due to the inability of the sand to enter the hopper. ,147,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L1,3/6/20,1:17,3/6/20,1:38,Between Stages,Operating,Well Swap,Swapped from BL7 to BL8,21,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L1,3/6/20,1:38,3/6/20,2:26,Between Stages,NPT_Customer,Frac Stack,"Leak on HZ, torquing stack.",48,
Briscoe Carla Ranch 18 HZ,42-127-38293,1,L1,3/6/20,2:26,3/6/20,4:43,,Operating,Pumping, Higher sand target concentrations were difficult  to hit due to pebbles blocking the mesh put into the hopper which was preventing the sand from passing. No additional time cahge was added due to the inability of the sand to enter the hopper. ,137,
Briscoe Carla Ranch 18 HX,42-127-38291,,L1,3/6/20,4:43,3/6/20,5:02,Between Stages,Operating,Well Swap,,19,
Briscoe Carla Ranch 18 HX,42-127-38291,2,L1,3/6/20,5:02,3/6/20,6:00,,Operating,Pumping,,58,
Briscoe Carla Ranch 18 HX,42-127-38291,2,L3,3/6/20,6:00,3/6/20,7:21,,Operating,Pumping,shift change; had to cut a load of sand per consultant due to rocks in the hopper screen preventing sand from passing; sand started to get cleaner towards end of stage and started getting better concentration; will clean mesh after every stage to help minimize the issue; FP15 V&S; ,81,
Briscoe Carla Ranch 18 HY,42-127-38292,,L3,3/6/20,7:21,3/6/20,7:37,Between Stages,Operating,Well Swap,,16,
Briscoe Carla Ranch 18 HY,42-127-38292,2,L3,3/6/20,7:37,3/6/20,9:42,,Operating,Pumping,All Proppant Placed. Good Stage,125,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L3,3/6/20,9:42,3/6/20,9:58,Between Stages,Operating,Well Swap,,16,
Briscoe Carla Ranch 18 HZ,42-127-38293,2,L3,3/6/20,9:58,3/6/20,12:09,,Operating,Pumping,"FP32 V&S; FP55 V&S; started stage at 90 bpm, dropped down to 80 bpm through out the stage per shear frac trying different things, max sand conc achieved was 1.75 ppg due to dirty sand in hopper screen, cut a load of sand per consultant",131,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L3,3/6/20,12:09,3/6/20,13:40,Between Stages,Operating,Maintenance-Scheduled ,datavan & backside equipment PCs restart; FP59 V&S; FP15 V&S; FP32 V&S; FP55 V&S; ,91,
Briscoe Carla Ranch 18 HX,42-127-38291,,L3,3/6/20,13:40,3/6/20,13:55,Between Stages,Operating,Prime and Test,,15,
Briscoe Carla Ranch 18 HX,42-127-38291,3,L3,3/6/20,13:55,3/6/20,16:14,,Operating,Pumping,"FP20 V&S; FP79 mechanical issue, mechanic will diagnose after stage; ran a sweep to allow us to clean hopper screen per consultant; All Proppant Placed.",139,
Briscoe Carla Ranch 18 HY,42-127-38292,,L3,3/6/20,16:14,3/6/20,16:30,Between Stages,Operating,Well Swap,,16,
Briscoe Carla Ranch 18 HY,42-127-38292,3,L3,3/6/20,16:30,3/6/20,18:00,,Operating,Pumping,"All Proppant Placed. good Stage,ran a sweep to allow us to clean hopper screen per consultant.",90,
Briscoe Carla Ranch 18 HY,42-127-38292,3,L1,3/6/20,18:00,3/6/20,18:46,,Operating,Pumping,,46,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L1,3/6/20,18:46,3/6/20,19:05,Between Stages,Operating,Well Swap,,19,
Briscoe Carla Ranch 18 HZ,42-127-38293,3,L1,3/6/20,19:05,3/6/20,21:16,,Operating,Pumping,Had to proceed to a dirty sweep in order to allow us to clean hopper free of pebbles due to restricting proppant flow and not allowing for the desired proppant concentration to be met. ,131,
Briscoe Carla Ranch 18 HX,42-127-38291,,L1,3/6/20,21:16,3/6/20,21:32,Between Stages,Operating,Well Swap,,16,
Briscoe Carla Ranch 18 HX,42-127-38291,4,L1,3/6/20,21:32,3/6/20,23:42,,Operating,Pumping,Once again proceed to a dirty sweep in order to allow us to clean hopper free of pebbles due to restricting proppant flow and not allowing for the desired proppant concentration to be met. ,130,
Briscoe Carla Ranch 18 HY,42-127-38292,,L1,3/6/20,23:42,3/7/20,0:01,Between Stages,Operating,Well Swap,,19,
Briscoe Carla Ranch 18 HY,42-127-38292,4,L1,3/7/20,0:01,3/7/20,1:58,,Operating,Pumping,"A dirty sweep was done in order to clear the hopper screen of rocks, during the 1.75ppg prop concentration a rapid increasing pressure trend was observed at which point proppant was cut and commnenced to flush the well in order to mitigate the pressure trend. 1 load of proppant was cut from design due to pressure. ",117,
Briscoe Carla Ranch 18 HZ,42-127-38293,,L1,3/7/20,1:58,3/7/20,2:18,Between Stages,Operating,Well Swap,,20,
Briscoe Carla Ranch 18 HZ,42-127-38293,4,L1,3/7/20,2:18,3/7/20,4:25,,Operating,Pumping,Two dirty sweeps were done in order to clean up the hopper screens in order to obtain targeted proppant concentrations. All prop placed,127,
Briscoe Carla Ranch 18 HX,42-127-38291,,L1,3/7/20,4:25,3/7/20,6:00,Between Stages,Operating,Maintenance-Scheduled ,"FP24,22,20,37 replaced valves and seats, and FP79 is being diagnosed by mechanic. Restated Datavan PC's,backside equipment and swapped from BL8 to BL7.",95,
Briscoe Carla Ranch 18 HX,42-127-38291,,L3,3/7/20,6:00,3/7/20,6:02,Between Stages,Operating,Maintenance-Scheduled ,shift change; ,2,
