well_name,well_number,static_id,dynamic_id,pad_name,api,start,end
 BRISCOE CATARINA SOUTH,7H,b022614e-31d2-4803-a832-323896a2105f,892127d9-52b6-460b-ae65-e61f24d0533c, BRISCOE CATARINA SOUTH 7H Pad,42127339520000,13:37.2,05:21.3
 BRISCOE CATARINA SOUTH,8H,76f121e2-d834-4af5-a56b-e02f62616e20,5724f236-39e8-41a7-b2c1-71cf7232c71b, BRISCOE CATARINA SOUTH 7H Pad,42127339510000,13:37.2,00:07.8
 BRISCOE CATARINA SOUTH,9H,056e4815-e540-4bd6-8171-fb5e81193c76,8ff48109-e33a-4205-8019-36c2f8212101, BRISCOE CATARINA SOUTH 7H Pad,42127339530000,13:37.2,00:07.8
 BRISCOE CATARINA SOUTH,9H,056e4815-e540-4bd6-8171-fb5e81193c76,72a9d5d7-ef71-4a30-86a0-9f0e562a8765, BRISCOE CATARINA SOUTH 7H Pad,42127339530000,13:37.2,00:07.8
BRISCOE CATARINA NORTH,34HV,a11f6fc1-479b-48f6-b2e6-f72910c1aa72,c269d5ad-1863-4a3c-9e58-ee926ae63b68,BRISCOE CATARINA NORTH 34HV Pad,42127382470000,18:11.8,40:40.0
BRISCOE CATARINA NORTH,34HW,a42f4570-cdb1-49d9-9cfe-3563b2fd2841,117f76b1-3b0c-4f13-815f-a193fa1deaaa,BRISCOE CATARINA NORTH 34HV Pad,42127382480000,52:47.6,40:40.0
BRISCOE CATARINA NORTH,34HW,a42f4570-cdb1-49d9-9cfe-3563b2fd2841,c9e3d0db-80b3-48f6-87d1-d96d58ae1f03,BRISCOE CATARINA NORTH 34HV Pad,42127382480000,52:47.6,40:40.0
BRISCOE CATARINA NORTH,34HX,d4a89ae9-da95-4d8f-8ba8-2b0370c74c94,0495ae6c-945d-4428-9c56-91de17eed8e0,BRISCOE CATARINA NORTH 34HV Pad,42127382490000,19:48.6,25:19.8
BRISCOE CATARINA NORTH,34HY,e0f448ce-696d-4575-9679-245cd4c0ead2,5bf47af6-3e45-4a75-82db-54f89984b05f,BRISCOE CATARINA NORTH 34HV Pad,42127382500000,19:48.6,52:46.6
BRISCOE CATARINA NORTH,34HZ,d2855f3c-5763-4f3d-87ee-134f287820cb,c3bd4460-d161-452e-a9a2-2c9c6ae2a18d,BRISCOE CATARINA NORTH 34HV Pad,42127382510000,19:48.6,32:20.7
BRISCOE CATARINA WEST,01HX,ea2e7111-1f74-4efd-8f40-8a09ebd08c15,fb3793a3-7f5b-4273-8ceb-39fb3e2bb0af,BRISCOE CATARINA WEST 01HX Pad,42127376740000,55:07.4,56:28.9
